Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,date_id
Buick,Regal GS 4dr,Sedan,USA,Front,"$28,345 ","$26,047 ",3.8,6.0,240.0,18.0,28.0,3536.0,109.0,196.0,2020
Buick,LeSabre Limited 4dr,Sedan,USA,Front,"$32,245 ","$29,566 ",3.8,6.0,205.0,20.0,29.0,3591.0,112.0,200.0,2023
Buick,Park Avenue 4dr,Sedan,USA,Front,"$35,545 ","$32,244 ",3.8,6.0,205.0,20.0,29.0,3778.0,114.0,207.0,2024
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,"$40,720 ","$36,927 ",3.8,6.0,240.0,18.0,28.0,3909.0,114.0,207.0,2022
Cadillac,Escalade,SUV,USA,Front,"$52,795 ","$48,377 ",5.3,8.0,295.0,14.0,18.0,5367.0,116.0,199.0,2024
Cadillac,SRX V8,SUV,USA,Front,"$46,995 ","$43,523 ",4.6,8.0,320.0,16.0,21.0,4302.0,116.0,195.0,2022
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,"$30,835 ","$28,575 ",3.6,6.0,255.0,18.0,25.0,3694.0,113.0,190.0,2022
Cadillac,Deville 4dr,Sedan,USA,Front,"$45,445 ","$41,650 ",4.6,8.0,275.0,18.0,26.0,3984.0,115.0,207.0,2020
Cadillac,Deville DTS 4dr,Sedan,USA,Front,"$50,595 ","$46,362 ",4.6,8.0,300.0,18.0,26.0,4044.0,115.0,207.0,2022
Cadillac,Seville SLS 4dr,Sedan,USA,Front,"$47,955 ","$43,841 ",4.6,8.0,275.0,18.0,26.0,3992.0,112.0,201.0,2023
Cadillac,XLR convertible 2dr,Sports,USA,Rear,"$76,200 ","$70,546 ",4.6,8.0,320.0,17.0,25.0,3647.0,106.0,178.0,2023
Cadillac,Escalade EXT,Truck,USA,All,"$52,975 ","$48,541 ",6.0,8.0,345.0,13.0,17.0,5879.0,130.0,221.0,2022
Chevrolet,Suburban 1500 LT,SUV,USA,Front,"$42,735 ","$37,422 ",5.3,8.0,295.0,14.0,18.0,4947.0,130.0,219.0,2020
Chevrolet,Tahoe LT,SUV,USA,All,"$41,465 ","$36,287 ",5.3,8.0,295.0,14.0,18.0,5050.0,116.0,197.0,2022
Chevrolet,TrailBlazer LT,SUV,USA,Front,"$30,295 ","$27,479 ",4.2,6.0,275.0,16.0,21.0,4425.0,113.0,192.0,2021
Chevrolet,Tracker,SUV,USA,Front,"$20,255 ","$19,108 ",2.5,6.0,165.0,19.0,22.0,2866.0,98.0,163.0,2021
Chevrolet,Aveo 4dr,Sedan,USA,Front,"$11,690 ","$10,965 ",1.6,4.0,103.0,28.0,34.0,2370.0,98.0,167.0,2023
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,"$12,585 ","$11,802 ",1.6,4.0,103.0,28.0,34.0,2348.0,98.0,153.0,2023
Chevrolet,Cavalier 2dr,Sedan,USA,Front,"$14,610 ","$13,697 ",2.2,4.0,140.0,26.0,37.0,2617.0,104.0,183.0,2021
Chevrolet,Cavalier 4dr,Sedan,USA,Front,"$14,810 ","$13,884 ",2.2,4.0,140.0,26.0,37.0,2676.0,104.0,183.0,2024
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,"$16,385 ","$15,357 ",2.2,4.0,140.0,26.0,37.0,2617.0,104.0,183.0,2022
Chevrolet,Impala 4dr,Sedan,USA,Front,"$21,900 ","$20,095 ",3.4,6.0,180.0,21.0,32.0,3465.0,111.0,200.0,2024
Chevrolet,Malibu 4dr,Sedan,USA,Front,"$18,995 ","$17,434 ",2.2,4.0,145.0,24.0,34.0,3174.0,106.0,188.0,2023
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,"$20,370 ","$18,639 ",3.5,6.0,200.0,22.0,30.0,3297.0,106.0,188.0,2021
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,"$21,825 ","$20,026 ",3.4,6.0,180.0,21.0,32.0,3340.0,111.0,198.0,2021
Chevrolet,Impala LS 4dr,Sedan,USA,Front,"$25,000 ","$22,931 ",3.8,6.0,200.0,20.0,30.0,3476.0,111.0,200.0,2022
Chevrolet,Impala SS 4dr,Sedan,USA,Front,"$27,995 ","$25,672 ",3.8,6.0,240.0,18.0,28.0,3606.0,111.0,200.0,2022
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,"$23,495 ","$21,551 ",3.5,6.0,200.0,23.0,32.0,3315.0,106.0,188.0,2023
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,"$24,225 ","$22,222 ",3.8,6.0,200.0,18.0,28.0,3434.0,111.0,198.0,2024
Chevrolet,Astro,Sedan,USA,All,"$26,395 ","$23,954 ",4.3,6.0,190.0,14.0,17.0,4605.0,111.0,190.0,2020
Chevrolet,Venture LS,Sedan,USA,Front,"$27,020 ","$24,518 ",3.4,6.0,185.0,19.0,26.0,3699.0,112.0,187.0,2023
Chevrolet,Corvette 2dr,Sports,USA,Rear,"$44,535 ","$39,068 ",5.7,8.0,350.0,18.0,25.0,3246.0,105.0,180.0,2020
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,"$51,535 ","$45,193 ",5.7,8.0,350.0,18.0,25.0,3248.0,105.0,180.0,2021
Chevrolet,Avalanche 1500,Truck,USA,All,"$36,100 ","$31,689 ",5.3,8.0,295.0,14.0,18.0,5678.0,130.0,222.0,2024
Chevrolet,Colorado Z85,Truck,USA,All,"$18,760 ","$17,070 ",2.8,4.0,175.0,18.0,23.0,3623.0,111.0,192.0,2021
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,"$20,310 ","$18,480 ",4.3,6.0,200.0,15.0,21.0,4142.0,119.0,206.0,2024
Chevrolet,Silverado SS,Truck,USA,All,"$40,340 ","$35,399 ",6.0,8.0,300.0,13.0,17.0,4804.0,144.0,238.0,2022
Chevrolet,SSR,Truck,USA,Rear,"$41,995 ","$39,306 ",5.3,8.0,300.0,16.0,19.0,4760.0,116.0,191.0,2023
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,"$22,225 ","$20,394 ",3.5,6.0,200.0,22.0,30.0,3458.0,112.0,188.0,2020
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,"$17,985 ","$16,919 ",2.4,4.0,150.0,22.0,29.0,3101.0,103.0,169.0,2021
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,"$22,000 ","$20,573 ",2.4,4.0,150.0,22.0,29.0,3105.0,103.0,169.0,2021
Chrysler,Sebring 4dr,Sedan,USA,Front,"$19,090 ","$17,805 ",2.4,4.0,150.0,22.0,30.0,3173.0,108.0,191.0,2020
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,"$21,840 ","$20,284 ",2.7,6.0,200.0,21.0,28.0,3222.0,108.0,191.0,2024
Chrysler,300M 4dr,Sedan,USA,Front,"$29,865 ","$27,797 ",3.5,6.0,250.0,18.0,27.0,3581.0,113.0,198.0,2023
Chrysler,Concorde LX 4dr,Sedan,USA,Front,"$24,130 ","$22,452 ",2.7,6.0,200.0,21.0,29.0,3479.0,113.0,208.0,2021
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,"$26,860 ","$24,909 ",3.5,6.0,232.0,19.0,27.0,3548.0,113.0,208.0,2023
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,"$25,955 ","$24,172 ",2.4,4.0,220.0,21.0,27.0,3217.0,103.0,169.0,2020
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,"$25,215 ","$23,451 ",2.4,4.0,150.0,22.0,30.0,3357.0,106.0,194.0,2022
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,"$33,295 ","$30,884 ",3.5,6.0,255.0,18.0,27.0,3650.0,113.0,198.0,2024
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,"$30,950 ","$28,613 ",2.7,6.0,200.0,21.0,28.0,3448.0,106.0,194.0,2023
Chrysler,Town and Country LX,Sedan,USA,Front,"$27,490 ","$25,371 ",3.3,6.0,180.0,19.0,26.0,4068.0,119.0,201.0,2024
Chrysler,Town and Country Limited,Sedan,USA,Front,"$38,380 ","$35,063 ",3.8,6.0,215.0,18.0,25.0,4331.0,119.0,201.0,2023
Chrysler,Crossfire 2dr,Sports,USA,Rear,"$34,495 ","$32,033 ",3.2,6.0,215.0,17.0,25.0,3060.0,95.0,160.0,2022
Chrysler,Pacifica,Wagon,USA,Rear,"$31,230 ","$28,725 ",3.5,6.0,250.0,17.0,23.0,4675.0,116.0,199.0,2023
Dodge,Durango SLT,SUV,USA,All,"$32,235 ","$29,472 ",4.7,8.0,230.0,15.0,21.0,4987.0,119.0,201.0,2020
Dodge,Neon SE 4dr,Sedan,USA,Front,"$13,670 ","$12,849 ",2.0,4.0,132.0,29.0,36.0,2581.0,105.0,174.0,2022
Dodge,Neon SXT 4dr,Sedan,USA,Front,"$15,040 ","$14,086 ",2.0,4.0,132.0,29.0,36.0,2626.0,105.0,174.0,2021
Dodge,Intrepid SE 4dr,Sedan,USA,Front,"$22,035 ","$20,502 ",2.7,6.0,200.0,21.0,29.0,3469.0,113.0,204.0,2020
Dodge,Stratus SXT 4dr,Sedan,USA,Front,"$18,820 ","$17,512 ",2.4,4.0,150.0,21.0,28.0,3182.0,108.0,191.0,2024
Dodge,Stratus SE 4dr,Sedan,USA,Front,"$20,220 ","$18,821 ",2.4,4.0,150.0,21.0,28.0,3175.0,108.0,191.0,2020
Dodge,Intrepid ES 4dr,Sedan,USA,Front,"$24,885 ","$23,058 ",3.5,6.0,232.0,18.0,27.0,3487.0,113.0,204.0,2022
Dodge,Caravan SE,Sedan,USA,Front,"$21,795 ","$20,508 ",2.4,4.0,150.0,20.0,26.0,3862.0,113.0,189.0,2023
Dodge,Grand Caravan SXT,Sedan,USA,All,"$32,660 ","$29,812 ",3.8,6.0,215.0,18.0,25.0,4440.0,119.0,201.0,2020
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,"$81,795 ","$74,451 ",8.3,10.0,500.0,12.0,20.0,3410.0,99.0,176.0,2022
Dodge,Dakota Regular Cab,Truck,USA,Rear,"$17,630 ","$16,264 ",3.7,6.0,210.0,16.0,22.0,3714.0,112.0,193.0,2024
Dodge,Dakota Club Cab,Truck,USA,Rear,"$20,300 ","$18,670 ",3.7,6.0,210.0,16.0,22.0,3829.0,131.0,219.0,2024
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,"$20,215 ","$18,076 ",3.7,6.0,215.0,16.0,21.0,4542.0,121.0,208.0,2022
Ford,Excursion 6.8 XLT,SUV,USA,All,"$41,475 ","$36,494 ",6.8,10.0,310.0,10.0,13.0,7190.0,137.0,227.0,2023
Ford,Expedition 4.6 XLT,SUV,USA,Front,"$34,560 ","$30,468 ",4.6,8.0,232.0,15.0,19.0,5000.0,119.0,206.0,2024
Ford,Explorer XLT V6,SUV,USA,All,"$29,670 ","$26,983 ",4.0,6.0,210.0,15.0,20.0,4463.0,114.0,190.0,2022
Ford,Escape XLS,SUV,USA,All,"$22,515 ","$20,907 ",3.0,6.0,201.0,18.0,23.0,3346.0,103.0,173.0,2021
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,"$13,270 ","$12,482 ",2.0,4.0,130.0,26.0,33.0,2612.0,103.0,168.0,2020
Ford,Focus LX 4dr,Sedan,USA,Front,"$13,730 ","$12,906 ",2.0,4.0,110.0,27.0,36.0,2606.0,103.0,168.0,2024
Ford,Focus SE 4dr,Sedan,USA,Front,"$15,460 ","$14,496 ",2.0,4.0,130.0,26.0,33.0,2606.0,103.0,168.0,2022
Ford,Focus ZX5 5dr,Sedan,USA,Front,"$15,580 ","$14,607 ",2.0,4.0,130.0,26.0,33.0,2691.0,103.0,168.0,2021
Ford,Focus SVT 2dr,Sedan,USA,Front,"$19,135 ","$17,878 ",2.0,4.0,170.0,21.0,28.0,2750.0,103.0,168.0,2020
Ford,Taurus LX 4dr,Sedan,USA,Front,"$20,320 ","$18,881 ",3.0,6.0,155.0,20.0,27.0,3306.0,109.0,198.0,2021
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,"$22,735 ","$20,857 ",3.0,6.0,201.0,19.0,26.0,3313.0,109.0,198.0,2023
Ford,Crown Victoria 4dr,Sedan,USA,Rear,"$24,345 ","$22,856 ",4.6,8.0,224.0,17.0,25.0,4057.0,115.0,212.0,2024
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,"$27,370 ","$25,105 ",4.6,8.0,224.0,17.0,25.0,4057.0,115.0,212.0,2024
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,"$30,315 ","$27,756 ",4.6,8.0,239.0,17.0,25.0,4057.0,115.0,212.0,2023
Ford,Freestar SE,Sedan,USA,Front,"$26,930 ","$24,498 ",3.9,6.0,193.0,17.0,23.0,4275.0,121.0,201.0,2020
Ford,Mustang 2dr (convertible),Sports,USA,Rear,"$18,345 ","$16,943 ",3.8,6.0,193.0,20.0,29.0,3290.0,101.0,183.0,2022
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,"$29,380 ","$26,875 ",4.6,8.0,260.0,17.0,25.0,3347.0,101.0,183.0,2024
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,"$37,530 ","$34,483 ",3.9,8.0,280.0,17.0,24.0,3780.0,107.0,186.0,2024
Ford,F-150 Regular Cab XL,Truck,USA,Rear,"$22,010 ","$19,490 ",4.6,8.0,231.0,15.0,19.0,4788.0,126.0,211.0,2024
Ford,F-150 Supercab Lariat,Truck,USA,All,"$33,540 ","$29,405 ",5.4,8.0,300.0,14.0,18.0,5464.0,133.0,218.0,2021
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,"$14,385 ","$13,717 ",2.3,4.0,143.0,24.0,29.0,3028.0,111.0,188.0,2020
Ford,Focus ZTW,Wagon,USA,Front,"$17,475 ","$16,375 ",2.0,4.0,130.0,26.0,33.0,2702.0,103.0,178.0,2023
Ford,Taurus SE,Wagon,USA,Front,"$22,290 ","$20,457 ",3.0,6.0,155.0,19.0,26.0,3497.0,109.0,198.0,2021
GMC,Envoy XUV SLE,SUV,USA,Front,"$31,890 ","$28,922 ",4.2,6.0,275.0,15.0,19.0,4945.0,129.0,208.0,2023
GMC,Yukon 1500 SLE,SUV,USA,Front,"$35,725 ","$31,361 ",4.8,8.0,285.0,16.0,19.0,5042.0,116.0,199.0,2020
GMC,Yukon XL 2500 SLT,SUV,USA,All,"$46,265 ","$40,534 ",6.0,8.0,325.0,13.0,17.0,6133.0,130.0,219.0,2024
GMC,Safari SLE,Sedan,USA,Rear,"$25,640 ","$23,215 ",4.3,6.0,190.0,16.0,20.0,4309.0,111.0,190.0,2020
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,"$16,530 ","$14,877 ",2.8,4.0,175.0,18.0,25.0,3351.0,111.0,192.0,2020
GMC,Sierra Extended Cab 1500,Truck,USA,Rear,"$25,717 ","$22,604 ",4.8,8.0,285.0,17.0,20.0,4548.0,144.0,230.0,2021
GMC,Sierra HD 2500,Truck,USA,All,"$29,322 ","$25,759 ",6.0,8.0,300.0,13.0,18.0,5440.0,133.0,222.0,2021
GMC,Sonoma Crew Cab,Truck,USA,All,"$25,395 ","$23,043 ",4.3,6.0,190.0,15.0,19.0,4083.0,123.0,208.0,2022
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,"$20,140 ","$18,451 ",1.4,4.0,93.0,46.0,51.0,2732.0,103.0,175.0,2024
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,"$19,110 ","$17,911 ",2.0,3.0,73.0,60.0,66.0,1850.0,95.0,155.0,2022
Honda,Pilot LX,SUV,Asia,All,"$27,560 ","$24,843 ",3.5,6.0,240.0,17.0,22.0,4387.0,106.0,188.0,2023
Honda,CR-V LX,SUV,Asia,All,"$19,860 ","$18,419 ",2.4,4.0,160.0,21.0,25.0,3258.0,103.0,179.0,2023
Honda,Element LX,SUV,Asia,All,"$18,690 ","$17,334 ",2.4,4.0,160.0,21.0,24.0,3468.0,101.0,167.0,2021
Honda,Civic DX 2dr,Sedan,Asia,Front,"$13,270 ","$12,175 ",1.7,4.0,115.0,32.0,38.0,2432.0,103.0,175.0,2020
Honda,Civic HX 2dr,Sedan,Asia,Front,"$14,170 ","$12,996 ",1.7,4.0,117.0,36.0,44.0,2500.0,103.0,175.0,2022
Honda,Civic LX 4dr,Sedan,Asia,Front,"$15,850 ","$14,531 ",1.7,4.0,115.0,32.0,38.0,2513.0,103.0,175.0,2022
Honda,Accord LX 2dr,Sedan,Asia,Front,"$19,860 ","$17,924 ",2.4,4.0,160.0,26.0,34.0,2994.0,105.0,188.0,2021
Honda,Accord EX 2dr,Sedan,Asia,Front,"$22,260 ","$20,080 ",2.4,4.0,160.0,26.0,34.0,3047.0,105.0,188.0,2024
,,,,,,,,,,,,,,,2024
Honda,Civic EX 4dr,Sedan,Asia,Front,"$17,750 ","$16,265 ",1.7,4.0,127.0,32.0,37.0,2601.0,103.0,175.0,2022
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,"$19,490 ","$17,849 ",2.0,4.0,160.0,26.0,30.0,2782.0,101.0,166.0,2024
Honda,Accord LX V6 4dr,Sedan,Asia,Front,"$23,760 ","$21,428 ",3.0,6.0,240.0,21.0,30.0,3349.0,108.0,190.0,2023
Honda,Accord EX V6 2dr,Sedan,Asia,Front,"$26,960 ","$24,304 ",3.0,6.0,240.0,21.0,30.0,3294.0,105.0,188.0,2021
Honda,Odyssey LX,Sedan,Asia,Front,"$24,950 ","$22,498 ",3.5,6.0,240.0,18.0,25.0,4310.0,118.0,201.0,2021
Honda,Odyssey EX,Sedan,Asia,Front,"$27,450 ","$24,744 ",3.5,6.0,240.0,18.0,25.0,4365.0,118.0,201.0,2024
Honda,S2000 convertible 2dr,Sports,Asia,Rear,"$33,260 ","$29,965 ",2.2,4.0,240.0,20.0,25.0,2835.0,95.0,162.0,2023
Hummer,H2,SUV,USA,All,"$49,995 ","$45,815 ",6.0,8.0,316.0,10.0,12.0,6400.0,123.0,190.0,2024
Hyundai,Santa Fe GLS,SUV,Asia,Front,"$21,589 ","$20,201 ",2.7,6.0,173.0,20.0,26.0,3549.0,103.0,177.0,2023
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,"$10,539 ","$10,107 ",1.6,4.0,103.0,29.0,33.0,2255.0,96.0,167.0,2021
Hyundai,Accent GL 4dr,Sedan,Asia,Front,"$11,839 ","$11,116 ",1.6,4.0,103.0,29.0,33.0,2290.0,96.0,167.0,2020
,,,,,,,,,,,,,,,2024
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,"$11,939 ","$11,209 ",1.6,4.0,103.0,29.0,33.0,2339.0,96.0,167.0,2024
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,"$13,839 ","$12,781 ",2.0,4.0,138.0,26.0,34.0,2635.0,103.0,178.0,2024
Hyundai,Elantra GT 4dr,Sedan,Asia,Front,"$15,389 ","$14,207 ",2.0,4.0,138.0,26.0,34.0,2635.0,103.0,178.0,2023
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,"$15,389 ","$14,207 ",2.0,4.0,138.0,26.0,34.0,2698.0,103.0,178.0,2022
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,"$19,339 ","$17,574 ",2.7,6.0,170.0,19.0,27.0,3217.0,106.0,187.0,2020
Hyundai,Sonata LX 4dr,Sedan,Asia,Front,"$20,339 ","$18,380 ",2.7,6.0,170.0,19.0,27.0,3217.0,106.0,187.0,2022
